SalePrice,GrLivArea,Neighborhood
79000,1096,Edwards
109500,1040,NAmes
269500,1968,Timber
254900,1947,Somerst
320000,2462,Gilbert
162500,1232,Veenker
412500,2668,NridgHt
220000,1541,NridgHt
103200,882,OldTown
152000,1616,OldTown
127500,1355,Edwards
190000,1867,ClearCr
325624,2161,NridgHt
183500,1720,Gilbert
228000,1707,Timber
128500,1382,OldTown
215000,1656,NAmes
239000,1767,StoneBr
163000,1362,NAmes
184000,1651,Timber
243000,2158,Edwards
211000,2060,ClearCr
172500,1920,Sawyer
501837,2234,StoneBr
100000,968,OldTown
177000,1525,Somerst
200100,1802,Crawfor
120000,1340,Edwards
200000,2082,OldTown
127000,1252,BrkSide
475000,3608,OldTown
173000,1217,Mitchel
135000,1656,OldTown
153337,1224,SawyerW
286000,1593,StoneBr
315000,2727,Crawfor
184000,1479,NAmes
192000,1431,CollgCr
130000,1709,Edwards
127000,864,CollgCr
148500,1456,NPkVill
311872,1726,Somerst
235000,3112,NAmes
104000,2229,OldTown
274900,1713,NridgHt
140000,1121,Edwards
171500,1279,Mitchel
112000,1310,OldTown
149000,848,CollgCr
110000,1284,OldTown
180500,1442,Gilbert
143900,1696,Sawyer
141000,1100,NAmes
277000,2062,SawyerW
145000,1092,NAmes
98000,864,Edwards
186000,1212,Edwards
252678,1852,Somerst
156000,990,CollgCr
161750,1392,CollgCr
134450,1236,NAmes
210000,1436,CollgCr
107000,1328,OldTown
311500,1954,Crawfor
167240,1248,Blmngtn
204900,1498,CollgCr
200000,2267,Gilbert
179900,1552,NWAmes
97000,864,NAmes
386250,2392,NridgHt
112000,1302,BrDale
290000,2520,NoRidge
106000,987,BrDale
125000,912,Sawyer
192500,1555,Blmngtn
148000,1194,NAmes
403000,2794,NoRidge
94500,987,BrDale
128200,894,CollgCr
216500,1960,Gilbert
89500,987,BrDale
185500,1414,CollgCr
194500,1744,SawyerW
318000,1694,NridgHt
113000,1487,Edwards
262500,1566,Somerst
110500,866,OldTown
79000,1440,OldTown
120000,1217,SawyerW
205000,2110,SawyerW
241500,1872,NWAmes
137000,1928,OldTown
140000,1375,NAmes
180000,1668,CollgCr
277000,2144,ClearCr
76500,1306,BrkSide
235000,1625,Crawfor
173000,1640,SawyerW
158000,1302,NAmes
145000,1314,NAmes
230000,2291,Gilbert
207500,1728,Somerst
220000,1604,CollgCr
231500,1792,CollgCr
97000,882,OldTown
176000,1382,NAmes
276000,2574,CollgCr
151000,1212,Sawyer
130000,1316,OldTown
73000,764,OldTown
175500,1422,NWAmes
185000,1511,Gilbert
179500,2192,SWISU
120500,778,IDOTRR
148000,1113,Edwards
266000,1939,Somerst
241500,1363,ClearCr
290000,2270,NoRidge
139000,1632,NAmes
124500,816,Mitchel
205000,1548,BrkSide
201000,1560,Mitchel
141000,864,Gilbert
415298,2121,NridgHt
192000,2022,ClearCr
228500,1982,SawyerW
185000,1262,Somerst
207500,1314,NridgHt
244600,1468,Somerst
179200,1575,SawyerW
164700,1250,Somerst
159000,1734,NAmes
88000,858,NAmes
122000,900,Sawyer
153575,1396,BrkSide
233230,1919,CollgCr
135900,1716,SWISU
131000,1716,Edwards
235000,2263,NWAmes
167000,1644,NAmes
142500,1003,Mitchel
152000,1558,IDOTRR
239000,1950,Somerst
175000,1743,NWAmes
158500,1152,Crawfor
157000,1336,Crawfor
267000,2452,CollgCr
205000,1541,CollgCr
149900,894,CollgCr
295000,3493,OldTown
305900,2000,CollgCr
225000,2243,SawyerW
89500,1406,IDOTRR
82500,861,Edwards
360000,1944,NridgHt
165600,1501,Gilbert
132000,972,NAmes
119900,1118,OldTown
375000,2036,Timber
178000,1641,OldTown
188500,1432,Gilbert
260000,2353,NWAmes
270000,1959,Somerst
260000,2646,NoRidge
187500,1472,NWAmes
342643,2596,NridgHt
354000,2468,NridgHt
301000,2730,SawyerW
126175,1163,OldTown
242000,2978,NAmes
87000,803,IDOTRR
324000,1719,Veenker
145250,1383,NAmes
214500,2134,BrkSide
78000,1192,IDOTRR
119000,1728,NAmes
139000,1056,NAmes
284000,1629,NridgHt
207000,1358,NridgHt
192000,1638,Gilbert
228950,1786,Timber
377426,1922,StoneBr
214000,1536,CollgCr
202500,1621,NWAmes
155000,1215,NAmes
202900,1908,Timber
82000,841,SawyerW
87500,1040,NAmes
266000,1684,NridgHt
85000,1112,MeadowV
140200,1577,BrkSide
151500,958,NAmes
157500,1478,NAmes
154000,1626,NridgHt
437154,2728,NridgHt
318061,1869,NridgHt
190000,1453,ClearCr
95000,1111,Edwards
105900,720,OldTown
140000,1595,SWISU
177500,1200,CollgCr
173000,1167,Gilbert
134000,1142,MeadowV
130000,1352,ClearCr
280000,1924,NoRidge
156000,912,Mitchel
145000,1505,BrkSide
198500,1922,Edwards
118000,987,BrDale
190000,1574,NWAmes
147000,1344,IDOTRR
159000,1394,NAmes
165000,1431,NAmes
132000,1268,NAmes
162000,1287,NAmes
172400,1664,Gilbert
134432,1588,ClearCr
125000,752,SawyerW
123000,1319,NAmes
219500,1928,CollgCr
61000,904,Edwards
148000,914,CollgCr
340000,2466,Somerst
394432,1856,StoneBr
179000,1800,Gilbert
127000,1691,SWISU
187750,1301,Somerst
213500,1797,CollgCr
76000,784,SawyerW
240000,1953,ClearCr
192000,1269,Blmngtn
81000,1184,Edwards
125000,1125,Edwards
191000,1479,CollgCr
426000,2332,NridgHt
119000,1367,Edwards
215000,1961,Mitchel
106500,882,NAmes
100000,788,BrkSide
109000,1034,OldTown
129000,1144,Edwards
123000,894,CollgCr
169500,1812,NAmes
67000,1077,IDOTRR
241000,1550,Somerst
245500,1288,Veenker
164990,1310,CollgCr
108000,672,Sawyer
258000,2263,NoRidge
168000,1572,Gilbert
150000,1620,Sawyer
115000,1639,SWISU
177000,1680,Crawfor
280000,2172,NridgHt
339750,2078,Somerst
60000,1276,Edwards
145000,1056,Gilbert
222000,1478,Somerst
115000,1028,OldTown
228000,2097,SawyerW
181134,1340,Gilbert
149500,1400,Sawyer
239000,2624,Crawfor
126000,1134,Edwards
142000,1056,NAmes
206300,1344,Mitchel
215000,1602,NWAmes
113000,988,Mitchel
315000,2630,NoRidge
139000,1196,NAmes
135000,1389,OldTown
275000,1644,SawyerW
109008,907,NAmes
195400,1208,CollgCr
175000,1412,Timber
85400,987,BrDale
79900,1198,OldTown
122500,1365,BrDale
181000,1604,Gilbert
81000,630,MeadowV
212000,1661,CollgCr
116000,1118,OldTown
119000,904,BrkSide
90350,694,Crawfor
110000,1196,Edwards
555000,2402,NridgHt
118000,1440,Edwards
162900,1573,BrkSide
172500,1258,Blmngtn
210000,1908,CollgCr
127500,1689,Edwards
190000,1888,NAmes
199900,1886,Gilbert
119500,1376,IDOTRR
120000,1183,OldTown
110000,813,OldTown
280000,1533,ClearCr
204000,1756,Timber
210000,1590,Somerst
188000,1728,Mitchel
175500,1242,NWAmes
98000,1344,OldTown
256000,1663,ClearCr
161000,1666,OldTown
110000,1203,BrkSide
263435,1935,Somerst
155000,1135,SWISU
62383,864,Sawyer
188700,1660,Crawfor
124000,1040,CollgCr
178740,1414,Blmngtn
167000,1277,NAmes
146500,1644,NAmes
250000,1634,NridgHt
187000,1710,SawyerW
212000,1502,StoneBr
190000,1969,NWAmes
148000,1072,Edwards
440000,1976,NridgHt
251000,1652,StoneBr
132500,970,Sawyer
208900,1493,CollgCr
380000,2643,NridgHt
297000,1718,CollgCr
89471,1131,OldTown
326000,1850,NridgHt
374000,1792,NridgHt
155000,1826,OldTown
164000,1216,Mitchel
132500,999,Sawyer
147000,1113,NAmes
156000,1073,NAmes
175000,1484,NWAmes
160000,2414,OldTown
86000,630,MeadowV
115000,1304,MeadowV
133000,1578,NAmes
172785,1456,Gilbert
155000,1269,NAmes
91300,886,OldTown
34900,720,IDOTRR
430000,3228,NoRidge
184000,1820,BrkSide
130000,899,Sawyer
120000,912,NAmes
113000,1218,BrDale
226700,1768,Somerst
140000,1214,Edwards
289000,1801,Crawfor
147000,1322,NPkVill
124500,1960,OldTown
215000,1911,SawyerW
208300,1218,Somerst
161000,1378,OldTown
124500,1041,NAmes
164900,1363,NAmes
202665,1368,NridgHt
129900,864,NAmes
134000,1080,Mitchel
96500,789,Crawfor
402861,2020,NridgHt
158000,2119,NWAmes
265000,2344,NoRidge
211000,1796,CollgCr
234000,2080,Crawfor
106250,1294,OldTown
150000,1244,NAmes
159000,1664,BrkSide
184750,4676,Edwards
315750,2398,NoRidge
176000,1266,Somerst
132000,928,NAmes
446261,2713,NridgHt
86000,605,Edwards
200624,2515,Crawfor
175000,1509,Timber
128000,1362,BrkSide
107500,827,NAmes
39300,334,BrkSide
178000,1414,Gilbert
107500,1347,Edwards
188000,1724,CollgCr
111250,864,NAmes
158000,1159,Sawyer
272000,1601,CollgCr
315000,1838,Timber
248000,2285,NoRidge
213250,1680,NWAmes
133000,767,NAmes
179665,1496,Gilbert
229000,2183,NWAmes
210000,1635,BrkSide
129500,768,Mitchel
125000,825,OldTown
263000,2094,Somerst
140000,1069,NPkVill
112500,928,OldTown
255500,1717,NridgHt
108000,1126,Edwards
284000,2046,NridgHt
113000,1048,BrkSide
141000,1092,NAmes
108000,1336,IDOTRR
175000,1446,Gilbert
234000,1557,Blmngtn
121500,1392,Sawyer
170000,1389,Mitchel
108000,996,Edwards
185000,1674,Edwards
268000,2295,NoRidge
128000,1647,SWISU
325000,2504,StoneBr
214000,1535,NridgHt
316600,2132,SawyerW
135960,943,NAmes
142600,1728,NAmes
120000,864,NAmes
224500,1692,Timber
170000,1430,Gilbert
139000,1109,NAmes
118500,1216,NAmes
145000,1477,SWISU
164500,1320,Sawyer
146000,1392,Somerst
131500,1795,OldTown
181900,1429,NAmes
253293,2042,NridgHt
118500,816,Edwards
325000,2775,OldTown
133000,1573,BrkSide
369900,2028,Timber
130000,838,BrkSide
137000,860,Sawyer
143000,1473,ClearCr
79500,935,BrkSide
185900,1582,CollgCr
451950,2296,NridgHt
138000,816,Mitchel
140000,848,CollgCr
110000,924,CollgCr
319000,1826,StoneBr
114504,1368,OldTown
194201,1402,Blmngtn
217500,1647,Crawfor
151000,1556,Blueste
275000,1904,NridgHt
141000,1375,IDOTRR
220000,1915,SawyerW
151000,1200,Somerst
221000,1494,CollgCr
205000,1986,NAmes
152000,1040,CollgCr
225000,2008,Edwards
359100,3194,Crawfor
118500,1029,Sawyer
313000,2153,CollgCr
148000,1032,NWAmes
261500,1872,CollgCr
147000,1120,Mitchel
75500,630,MeadowV
137500,1054,NAmes
183200,1509,Gilbert
105500,832,NAmes
314813,1828,NridgHt
305000,2262,Timber
67000,864,Edwards
240000,2614,NWAmes
135000,980,Sawyer
168500,1512,Somerst
165150,1790,NWAmes
160000,1116,NAmes
139900,1422,NAmes
153000,1520,NAmes
135000,2080,NAmes
168500,1350,NAmes
124000,1750,OldTown
209500,1554,NridgHt
82500,1411,NWAmes
139400,1056,NAmes
144000,1056,OldTown
200000,3395,SWISU
60000,800,BrkSide
93000,1387,OldTown
85000,796,Edwards
264561,1567,Blmngtn
274000,1518,NridgHt
226000,1929,Somerst
345000,2704,NAmes
152000,1620,NWAmes
370878,1766,Somerst
143250,981,NAmes
98300,1048,NAmes
155000,1094,Edwards
155000,1839,NAmes
84500,630,MeadowV
205950,1665,Somerst
108000,1510,Edwards
191000,1716,CollgCr
135000,1469,IDOTRR
350000,2113,NoRidge
88000,1092,BrDale
145500,1053,NAmes
149000,1502,Crawfor
97500,1458,NAmes
167000,1486,Edwards
197900,1935,NWAmes
402000,2448,NoRidge
110000,1392,NAmes
137500,1181,Edwards
423000,2097,Somerst
230500,1936,Gilbert
129000,2380,NAmes
193500,1679,SawyerW
168000,1437,Sawyer
137500,1180,Crawfor
173500,1476,CollgCr
103600,1369,Edwards
165000,1208,Veenker
257500,1839,Crawfor
140000,1136,NAmes
148500,1441,NPkVill
87000,1774,OldTown
109500,792,OldTown
372500,2046,StoneBr
128500,988,Sawyer
143000,923,SawyerW
159434,1520,SWISU
173000,1291,ClearCr
285000,1668,CollgCr
221000,1839,NoRidge
207500,2090,StoneBr
227875,1761,Somerst
148800,1102,Somerst
392000,1419,StoneBr
194700,1362,NridgHt
141000,848,CollgCr
755000,4316,NoRidge
335000,2519,Timber
108480,1073,OldTown
141500,1539,BrkSide
176000,1137,Timber
89000,616,BrkSide
123500,1148,Edwards
138500,894,Sawyer
196000,1391,Somerst
312500,1800,Timber
140000,1164,NWAmes
361919,2576,StoneBr
140000,1812,OldTown
213000,1484,CollgCr
55000,1092,IDOTRR
302000,1824,ClearCr
254000,1324,NridgHt
179540,1456,Gilbert
109900,904,Sawyer
52000,729,BrkSide
102776,1178,IDOTRR
189000,1228,StoneBr
129000,960,BrkSide
130500,1479,Sawyer
165000,1350,NWAmes
159500,2554,OldTown
157000,1178,NWAmes
341000,2418,NoRidge
128500,971,CollgCr
275000,1742,StoneBr
143000,848,CollgCr
124500,864,NAmes
135000,1470,Edwards
320000,1698,Edwards
120500,864,NAmes
222000,1680,Crawfor
194500,1232,CollgCr
110000,1776,NAmes
103000,1208,IDOTRR
236500,1616,StoneBr
187500,1146,Timber
222500,2031,CollgCr
131400,1144,Sawyer
108000,948,Sawyer
163000,1768,OldTown
93500,1040,NAmes
239900,1801,Gilbert
179000,1200,Edwards
190000,1728,CollgCr
132000,1432,OldTown
142000,912,Sawyer
179000,1349,SawyerW
175000,1464,Sawyer
180000,1337,StoneBr
299800,2715,NWAmes
236000,2256,Gilbert
265979,2640,OldTown
260400,1720,NoRidge
98000,1529,Edwards
96500,1140,OldTown
162000,1320,Gilbert
217000,1494,CollgCr
275500,2098,NridgHt
156000,1026,NAmes
172500,1471,Somerst
212000,1768,CollgCr
158900,1386,Sawyer
179400,1501,Somerst
290000,2531,NoRidge
127500,864,NAmes
100000,1301,BrkSide
215200,1547,Somerst
337000,2365,NoRidge
270000,1494,Veenker
264132,1506,Somerst
196500,1714,NWAmes
160000,1750,Mitchel
216837,1836,CollgCr
538000,3279,StoneBr
134900,858,Sawyer
102000,1220,Edwards
107000,1117,Edwards
114500,912,NAmes
395000,1973,NridgHt
162000,1204,Mitchel
221500,1614,CollgCr
142500,894,Sawyer
144000,2020,SawyerW
135000,1004,Mitchel
176000,1253,Gilbert
175900,1603,SawyerW
187100,1430,CollgCr
165500,1110,Mitchel
128000,1484,OldTown
161500,1342,NWAmes
139000,1652,OldTown
233000,2084,SawyerW
107900,901,OldTown
187500,2087,ClearCr
160200,1145,Blmngtn
146800,1062,Mitchel
269790,2013,NoRidge
225000,1496,Somerst
194500,1895,Gilbert
171000,1564,SawyerW
143500,1285,Sawyer
110000,773,NAmes
485000,3140,NridgHt
175000,1768,SWISU
200000,1688,ClearCr
109900,1196,IDOTRR
189000,1456,CollgCr
582933,2822,NridgHt
118000,1128,NAmes
227680,1428,Somerst
135500,980,NAmes
223500,1576,BrkSide
159950,1086,NAmes
106000,2138,OldTown
181000,1309,NWAmes
144500,848,CollgCr
55993,1044,IDOTRR
157900,1442,NAmes
116000,1250,Edwards
224900,1661,CollgCr
137000,1008,NAmes
271000,1689,Mitchel
155000,1052,ClearCr
224000,1358,NridgHt
183000,1640,CollgCr
93000,936,OldTown
225000,1733,Gilbert
139500,1489,SWISU
232600,1489,Somerst
385000,2084,NridgHt
109500,784,BrkSide
189000,1434,SawyerW
185000,2126,ClearCr
147400,1223,Somerst
166000,1392,NAmes
151000,1200,Somerst
237000,1829,CollgCr
167000,1516,NAmes
139950,1144,NAmes
128000,1067,Sawyer
153500,1559,OldTown
100000,987,BrDale
144000,1099,CollgCr
130500,1200,Edwards
140000,1482,SWISU
157500,1539,OldTown
174900,1165,NAmes
141000,1800,NAmes
153900,1416,OldTown
171000,1701,Sawyer
213000,1775,SawyerW
133500,864,CollgCr
240000,2358,ClearCr
187000,1855,Veenker
131500,848,CollgCr
215000,1456,Blmngtn
164000,1646,Crawfor
158000,1445,NAmes
170000,1779,Sawyer
127000,1040,Sawyer
147000,1026,CollgCr
174000,1481,Gilbert
152000,1370,NWAmes
250000,2654,NWAmes
189950,1426,Crawfor
131500,1039,Sawyer
152000,1097,SawyerW
132500,1148,NAmes
250580,1372,Somerst
148500,1002,NAmes
248900,1646,Timber
129000,1120,Sawyer
169000,2320,Gilbert
236000,1949,SawyerW
109500,894,NAmes
200500,1682,CollgCr
116000,910,NAmes
133000,1268,NAmes
66500,1131,OldTown
303477,2610,Somerst
132250,1040,Mitchel
350000,2224,NridgHt
148000,1155,Sawyer
136500,864,CollgCr
157000,1090,Edwards
187500,1717,Timber
178000,1593,Gilbert
118500,2230,SWISU
100000,892,NAmes
328900,1709,Somerst
145000,1712,NAmes
135500,1393,Edwards
268000,2217,NAmes
149500,1505,NAmes
122900,924,NAmes
172500,1683,Sawyer
154500,1068,Sawyer
165000,1383,Sawyer
118858,1535,SawyerW
140000,1796,NAmes
106500,951,IDOTRR
142953,2240,SawyerW
611657,2364,NridgHt
135000,1236,Sawyer
110000,858,NAmes
153000,1306,NAmes
180000,1509,Gilbert
240000,1670,Gilbert
125500,902,Sawyer
128000,1063,NAmes
255000,1636,Somerst
250000,2057,Crawfor
131000,902,Mitchel
174000,1484,Gilbert
154300,2274,NAmes
143500,1268,CollgCr
88000,1015,BrkSide
145000,2002,Crawfor
173733,1224,Somerst
75000,1092,MeadowV
35311,480,IDOTRR
135000,1229,Edwards
238000,2127,SawyerW
176500,1414,NAmes
201000,1721,SawyerW
145900,2200,Edwards
169990,1316,Gilbert
193000,1617,SawyerW
207500,1686,NWAmes
175000,1126,NWAmes
285000,2374,NridgHt
176000,1978,NWAmes
236500,1788,CollgCr
222000,2236,Gilbert
201000,1466,Timber
117500,925,NAmes
320000,1905,Somerst
190000,1500,CollgCr
242000,2069,NAmes
79900,747,BrkSide
184900,1200,SawyerW
253000,1971,Somerst
239799,1962,CollgCr
244400,2403,ClearCr
150900,1728,Mitchel
214000,2060,Gilbert
150000,1440,Edwards
143000,1632,Mitchel
137500,1344,Timber
124900,1869,OldTown
143000,1144,NAmes
270000,1629,Timber
192500,1776,CollgCr
197500,1381,NWAmes
129000,864,NAmes
119900,965,SawyerW
133900,768,CollgCr
172000,1968,Mitchel
127500,980,Edwards
145000,1958,Crawfor
124000,1229,Blueste
132000,1057,Sawyer
185000,1337,CollgCr
155000,1416,Somerst
116500,858,BrkSide
272000,2872,NWAmes
155000,1548,NPkVill
239000,1800,CollgCr
214900,1894,Timber
178900,1484,Gilbert
160000,1308,Crawfor
135000,1098,NAmes
37900,968,OldTown
140000,1095,NAmes
135000,1192,NAmes
173000,1626,NridgHt
99500,918,SawyerW
182000,1428,Somerst
167500,2019,BrkSide
165000,1382,Somerst
85500,869,BrkSide
199900,1241,Somerst
110000,894,Edwards
139000,1121,Sawyer
178400,999,NAmes
336000,2612,NoRidge
159895,1266,Blmngtn
255900,2290,CollgCr
126000,1734,Mitchel
125000,1164,Edwards
117000,1635,OldTown
395192,1940,NridgHt
195000,2030,NWAmes
197000,1576,Somerst
348000,2392,NoRidge
168000,1742,OldTown
187000,1851,NAmes
173900,1500,CollgCr
337500,1718,NridgHt
121600,1230,BrkSide
136500,1050,NAmes
185000,1442,NWAmes
91000,1077,IDOTRR
206000,1208,CollgCr
82000,944,Edwards
86000,691,OldTown
232000,1574,Somerst
136905,1680,NWAmes
181000,1504,Blmngtn
149900,985,CollgCr
163500,1657,NAmes
88000,1092,MeadowV
240000,1710,Mitchel
102000,1522,SWISU
135000,1271,Sawyer
100000,1664,Edwards
165000,1502,Crawfor
85000,1022,OldTown
119200,1082,NAmes
227000,1665,NWAmes
203000,1504,CollgCr
187500,1360,StoneBr
160000,1472,Gilbert
213490,1506,Blmngtn
176000,1132,Edwards
194000,1220,CollgCr
87000,1248,OldTown
191000,1504,Blmngtn
287000,2898,Timber
112500,882,CollgCr
167500,1264,NAmes
293077,1646,Timber
105000,1376,NAmes
118000,1218,BrDale
160000,1928,SWISU
197000,3082,SWISU
310000,2520,NoRidge
230000,1654,CollgCr
119750,954,Crawfor
84000,845,Edwards
315500,1620,Timber
287000,2263,CollgCr
97000,1344,MeadowV
80000,630,MeadowV
155000,1803,Sawyer
173000,1632,NWAmes
196000,1306,NridgHt
262280,2329,SawyerW
278000,2524,NWAmes
139600,1733,Edwards
556581,2868,StoneBr
145000,990,CollgCr
115000,1771,Mitchel
84900,930,Edwards
176485,1302,Gilbert
200141,1316,CollgCr
165000,1977,NAmes
144500,1526,Edwards
255000,1989,CollgCr
180000,1523,NWAmes
185850,1364,NridgHt
248000,1850,NoRidge
335000,2184,NridgHt
220000,1991,Crawfor
213500,1338,StoneBr
81000,894,IDOTRR
90000,2337,OldTown
110500,1103,OldTown
154000,1154,NAmes
328000,2260,ClearCr
178000,1571,Gilbert
167900,1611,NAmes
151400,2521,MeadowV
135000,893,NAmes
135000,1048,NAmes
154000,1556,NWAmes
91500,1456,Edwards
159500,1426,Edwards
194000,1240,CollgCr
219500,1740,Crawfor
170000,1466,OldTown
138800,1096,NAmes
155900,848,CollgCr
126000,990,CollgCr
145000,1258,NWAmes
133000,1040,Sawyer
192000,1459,CollgCr
160000,1251,NAmes
187500,1498,Gilbert
147000,996,SawyerW
83500,1092,MeadowV
252000,1953,Somerst
137500,1709,Edwards
197000,1247,Somerst
92900,1040,NAmes
160000,1252,Somerst
136500,1694,SWISU
146000,1200,NAmes
129000,936,NAmes
176432,1314,CollgCr
127000,1355,IDOTRR
170000,1088,StoneBr
128000,1324,BrkSide
157000,1601,NWAmes
60000,438,SWISU
119500,950,NAmes
135000,1134,NAmes
159500,1194,NAmes
106000,1302,BrDale
325000,2622,NoRidge
179900,1442,SawyerW
274725,2021,Gilbert
181000,1690,Gilbert
280000,1836,NridgHt
188000,1658,Gilbert
205000,1964,NWAmes
129900,816,NAmes
134500,1008,NAmes
117000,833,OldTown
318000,1734,NridgHt
184100,1419,Gilbert
130000,894,Sawyer
140000,1601,Sawyer
133700,1040,NAmes
118400,1012,IDOTRR
212900,1552,CollgCr
112000,960,Edwards
118000,698,Edwards
163900,1482,Gilbert
115000,1005,NAmes
174000,1555,Blmngtn
259000,1530,Gilbert
215000,1959,Gilbert
140000,936,OldTown
135000,1981,SWISU
93500,974,Mitchel
117500,2210,OldTown
239500,2020,SawyerW
169000,1600,Gilbert
102000,986,BrkSide
119000,1252,NAmes
94000,1020,Sawyer
196000,1567,Mitchel
144000,1167,BrkSide
139000,952,NAmes
197500,1868,NWAmes
424870,2828,CollgCr
80000,1006,Sawyer
80000,924,Edwards
149000,1576,BrkSide
180000,1298,SawyerW
174500,1564,Crawfor
116900,1111,OldTown
143000,1482,OldTown
124000,932,NAmes
149900,1466,Edwards
230000,1811,Crawfor
120500,816,IDOTRR
201800,1820,NAmes
218000,1437,Veenker
179900,1265,NAmes
230000,1314,NridgHt
235128,1580,Somerst
185000,1876,NWAmes
146000,1456,NPkVill
224000,1640,Crawfor
129000,894,Sawyer
108959,1258,Sawyer
194000,1432,Veenker
233170,1502,NridgHt
245350,1694,CollgCr
173000,1671,Gilbert
235000,2108,Edwards
625000,3627,NoRidge
171000,1118,Mitchel
163000,1261,NAmes
171900,1250,Somerst
200500,3086,ClearCr
239000,2345,Crawfor
285000,2872,NoRidge
119500,923,Mitchel
115000,1224,OldTown
154900,1343,Crawfor
93000,1124,Edwards
250000,2514,Timber
392500,1652,Crawfor
745000,4476,NoRidge
120000,1130,OldTown
186700,1572,Timber
104900,1221,Edwards
95000,1699,OldTown
262000,1624,NoRidge
195000,1660,CollgCr
189000,1804,Gilbert
168000,1622,Mitchel
174000,1441,Somerst
125000,1472,OldTown
165000,1224,Mitchel
158000,1352,Sawyer
176000,1456,Gilbert
219210,1863,Gilbert
144000,1690,OldTown
178000,1212,CollgCr
148000,1382,Sawyer
116050,864,NAmes
197900,1779,CollgCr
117000,1348,BrkSide
213000,1630,CollgCr
153500,1074,NWAmes
271900,2196,SawyerW
107000,1056,SawyerW
200000,1700,CollgCr
140000,1283,NAmes
290000,1660,Somerst
189000,1845,SawyerW
164000,1752,Gilbert
113000,672,Edwards
145000,960,Sawyer
134500,999,NAmes
125000,894,Sawyer
112000,1902,Sawyer
229456,1314,Somerst
80500,912,BrkSide
